Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Zimbabwe,Africa,125671,845.53,898,6.04,0,4493,30.23,74,0.5,0
Namibia,Africa,125659,4945.44,613,24.13,0,3412,134.28,168,6.61,0
China,Western Pacific,123322,8.38,254,0.02,37,5685,0.39,2,0,0
Ghana,Africa,121307,390.39,1871,6.02,0,1069,3.44,33,0.11,0
Montenegro,Europe,119069,18958.16,3681,586.09,606,1774,282.46,54,8.6,17
Cyprus,Europe,115475,13003.87,1600,180.18,206,518,58.33,15,1.69,2
Uganda,Africa,99701,217.97,293,0.64,0,3031,6.63,19,0.04,0
Cambodia,Western Pacific,96339,576.23,3284,19.64,511,1981,11.85,78,0.47,11
El Salvador,Americas,96067,1481.1,2007,30.94,0,2977,45.9,59,0.91,8
Rwanda,Africa,88682,684.69,1551,11.97,0,1105,8.53,22,0.17,0
Cameroon,Africa,84210,317.22,0,0,0,1357,5.11,0,0,0
Maldives,South-East Asia,82264,15218.74,963,178.15,0,227,41.99,1,0.18,0
Luxembourg,Europe,76358,12195.66,598,95.51,113,832,132.88,2,0.32,0
Senegal,Africa,73227,437.33,422,2.52,0,1808,10.8,43,0.26,0
Jamaica,Americas,72824,2459.3,4693,158.48,837,1646,55.59,128,4.32,9
Singapore,Western Pacific,69233,1183.4,1613,27.57,332,55,0.94,0,0,0
Australia,Western Pacific,64628,253.44,10797,42.34,1494,1053,4.13,47,0.18,9
Malawi,Africa,60852,318.1,358,1.87,0,2217,11.59,40,0.21,0
Côte d’Ivoire,Africa,57056,216.3,1387,5.26,0,477,1.81,36,0.14,0
Democratic Republic of the Congo,Africa,55877,62.39,731,0.82,0,1061,1.18,2,0,0
Réunion,Africa,51651,5769.05,1305,145.76,1305,354,39.54,12,1.34,12
Guadeloupe,Americas,49515,12374.91,4122,1030.18,0,606,151.45,98,24.49,0
Angola,Africa,48790,148.45,1246,3.79,0,1282,3.9,65,0.2,0
Fiji,Western Pacific,48153,5371.55,1437,160.3,160,525,58.56,29,3.24,5
Trinidad and Tobago,Americas,45824,3274.34,1218,87.03,110,1336,95.46,51,3.64,6
Eswatini,Africa,44234,3812.74,863,74.39,0,1156,99.64,55,4.74,0
Madagascar,Africa,42873,154.83,4,0.01,0,956,3.45,0,0,0
French Polynesia,Western Pacific,42109,14990.32,1931,687.41,0,522,185.83,99,35.24,9
Martinique,Americas,38786,10335.63,1594,424.77,170,527,140.43,67,17.85,28
Sudan,Eastern Mediterranean,37877,86.38,168,0.38,0,2791,6.36,0,0,0
Malta,Europe,36553,7103.68,382,74.24,41,445,86.48,4,0.78,0
French Guiana,Americas,36221,12126.94,1148,384.36,186,224,75,5,1.67,1
Cabo Verde,Africa,35624,6407.34,341,61.33,0,314,56.48,3,0.54,0
Mauritania,Africa,34297,737.62,717,15.42,0,737,15.85,22,0.47,0
Suriname,Americas,31012,5286.45,2045,348.6,157,740,126.14,22,3.75,2
Guinea,Africa,29605,225.43,205,1.56,0,341,2.6,6,0.05,0
Syrian Arab Republic,Eastern Mediterranean,28814,164.65,899,5.14,136,2049,11.71,36,0.21,5
Guyana,Americas,26611,3383.25,1208,153.58,101,647,82.26,34,4.32,6
Gabon,Africa,25888,1163.12,69,3.1,0,165,7.41,0,0,0
Togo,Africa,21980,265.5,719,8.68,0,190,2.3,5,0.06,0
Haiti,Americas,21124,185.26,182,1.6,0,588,5.16,2,0.02,0
Seychelles,Africa,20281,20621.88,153,155.57,0,103,104.73,1,1.02,0
Mayotte,Africa,19947,7311.55,120,43.99,22,175,64.15,0,0,0
Bahamas,Americas,19035,4840.51,896,227.85,182,453,115.2,72,18.31,14
Papua New Guinea,Western Pacific,18296,204.49,104,1.16,20,194,2.17,2,0.02,0
Timor-Leste,South-East Asia,18046,1368.73,1105,83.81,158,86,6.52,14,1.06,1
Somalia,Eastern Mediterranean,17947,112.92,481,3.03,0,1005,6.32,28,0.18,0
Tajikistan,Europe,17424,182.69,172,1.8,19,125,1.31,0,0,0
Belize,Americas,16950,4262.78,730,183.59,200,364,91.54,5,1.26,1
Lao People's Democratic Republic,Western Pacific,16365,224.93,1350,18.56,307,16,0.22,2,0.03,0
Benin,Africa,15932,131.42,2566,21.17,0,131,1.08,3,0.02,0
Curaçao,Americas,15483,9435.5,220,134.07,13,149,90.8,6,3.66,0
Andorra,Europe,15070,19504.3,37,47.89,1,130,168.25,0,0,0
Mali,Africa,14910,73.63,36,0.18,0,539,2.66,0,0,0
Aruba,Americas,14861,13919.23,353,330.63,19,151,141.43,12,11.24,1
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Burkina Faso,Africa,13851,66.26,74,0.35,0,171,0.82,0,0,0
Congo,Africa,13588,246.24,0,0,0,183,3.32,0,0,0
Burundi,Africa,13070,109.92,485,4.08,0,10,0.08,0,0,0
Mauritius,Africa,12616,992,1940,152.54,0,34,2.67,3,0.24,0
Djibouti,Eastern Mediterranean,11792,1193.52,42,4.25,7,157,15.89,0,0,0
South Sudan,Africa,11534,103.04,88,0.79,0,120,1.07,0,0,0
Central African Republic,Africa,11296,233.88,0,0,0,100,2.07,0,0,0
Iceland,Europe,11090,3045.58,301,82.66,27,33,9.06,0,0,0
Guam,Western Pacific,10855,6431.64,735,435.49,289,153,90.65,4,2.37,2
Gambia,Africa,9789,405.06,91,3.77,0,328,13.57,9,0.37,0
Nicaragua,Americas,9732,146.91,449,6.78,449,201,3.03,1,0.02,1
Jersey,Europe,9540,8850.05,291,269.95,132,78,72.36,1,0.93,1
Equatorial Guinea,Africa,9477,675.49,151,10.76,0,126,8.98,2,0.14,0
Saint Lucia,Americas,9191,5005.26,1036,564.19,42,118,64.26,15,8.17,2
Yemen,Eastern Mediterranean,8181,27.43,312,1.05,39,1534,5.14,62,0.21,4
Isle of Man,Europe,6849,8054.61,197,231.68,17,29,34.1,0,0,0
Eritrea,Africa,6648,187.46,6,0.17,0,38,1.07,0,0,0
Sierra Leone,Africa,6374,79.9,7,0.09,0,121,1.52,0,0,0
United States Virgin Islands,Americas,6071,5813.74,207,198.23,45,62,59.37,8,7.66,2
Guinea-Bissau,Africa,5902,299.9,103,5.23,0,121,6.15,2,0.1,0
Niger,Africa,5888,24.32,31,0.13,0,199,0.82,0,0,0
Liberia,Africa,5727,113.23,133,2.63,0,245,4.84,0,0,0
Barbados,Americas,5417,1884.99,449,156.24,68,51,17.75,1,0.35,0
Gibraltar,Europe,5399,16025.05,57,169.18,7,97,287.91,0,0,0
San Marino,Europe,5358,15787.61,27,79.56,7,90,265.19,0,0,0
Chad,Africa,4998,30.43,4,0.02,0,174,1.06,0,0,0
Comoros,Africa,4072,468.26,7,0.8,0,147,16.9,0,0,0
Sint Maarten,Americas,3849,8975.79,170,396.44,25,57,132.92,6,13.99,0
Brunei Darussalam,Western Pacific,3567,815.35,855,195.44,103,14,3.2,5,1.14,1
Saint Martin,Americas,3544,9167.33,188,486.3,0,31,80.19,14,36.21,0
New Zealand,Western Pacific,3473,72.02,186,3.86,16,27,0.56,1,0.02,0
Liechtenstein,Europe,3457,8921.98,54,139.37,0,58,149.69,0,0,0
Monaco,Europe,3253,8289.17,52,132.5,13,35,89.19,0,0,0
Bermuda,Americas,3048,4894.58,137,220,0,34,54.6,1,1.61,0
Turks and Caicos Islands,Americas,2697,6965.75,47,121.39,0,20,51.66,0,0,0
British Virgin Islands,Americas,2640,8731.02,72,238.12,0,37,122.37,0,0,0
Sao Tome and Principe,Africa,2634,1201.87,41,18.71,0,37,16.88,0,0,0
Bhutan,South-East Asia,2596,336.44,0,0,0,3,0.39,0,0,0
Saint Vincent and the Grenadines,Americas,2385,2149.81,49,44.17,6,12,10.82,0,0,0
Dominica,Americas,1998,2775.35,360,500.06,0,5,6.95,1,1.39,0
Antigua and Barbuda,Americas,1960,2001.45,245,250.18,90,47,47.99,3,3.06,1
Bonaire,Americas,1815,8677.98,58,277.31,13,17,81.28,0,0,0
Saint Barthélemy,Americas,1607,16256.95,15,151.75,0,2,20.23,1,10.12,0
Grenada,Americas,1473,1309.07,1012,899.37,235,12,10.66,11,9.78,0
Guernsey,Europe,1375,2132.84,138,214.06,0,18,27.92,0,0,0
United Republic of Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
Saint Kitts and Nevis,Americas,1279,2404.5,188,353.44,49,5,9.4,2,3.76,0
Faroe Islands,Europe,1022,2091.48,21,42.98,2,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,715,1087.95,35,53.26,24,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,360,634.12,26,45.8,7,0,0,0,0,0
Anguilla,Americas,296,1973.07,79,526.6,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,248,430.88,5,8.69,0,2,3.47,0,0,0
New Caledonia,Western Pacific,143,50.09,7,2.45,7,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,0,0,0,0,0,0,0,0
Montserrat,Americas,31,620.12,2,40.01,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,1,17.26,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Palau,Western Pacific,2,11.05,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
